name,addr,size,mode,type
debuguart_SetBaudrate,627072,52,THUMB_32,FUNC
bt_boot_hci_HandleDownload_Minidriver,296004,46,THUMB_32,FUNC
quad_hwInit,80132,300,THUMB_32,FUNC
patch_autoInstall,215568,40,THUMB_32,FUNC
E21,508664,74,THUMB_32,FUNC
dbguart_read,627250,94,THUMB_32,FUNC
bt_boot_hci_WriteBytesToNonByteAddressableMemory,296148,248,THUMB_32,FUNC
quad_miaFreezeCallBack,80524,132,THUMB_32,FUNC
_lrm_insertHeadOrTail,225122,166,THUMB_32,FUNC
E22,508738,52,THUMB_32,FUNC
bthci_cmd_info_GetCommandHandler,635240,32,THUMB_32,FUNC
bt_boot_hci_ReadBytesFromNonByteAddressableMemory,296594,142,THUMB_32,FUNC
quad_getXYMotion,80712,34,THUMB_32,FUNC
_lrm_adjustLinkBandwidth,225372,72,THUMB_32,FUNC
E22_PIN,508790,156,THUMB_32,FUNC
bthci_cmd_info_HandleRead_Local_Extended_Features,635654,74,THUMB_32,FUNC
eeprom_ReadPrivate,297940,74,THUMB_32,FUNC
rtc_getRTCRawClock,80840,66,THUMB_32,FUNC
_lrm_HIDBlockInsertLink,225444,78,THUMB_32,FUNC
ape_MAC,508946,58,THUMB_32,FUNC
bthci_cmd_info_HandleRead_Buffer_Size,635728,84,THUMB_32,FUNC
eeprom_Read,298014,68,THUMB_32,FUNC
rtc_RtcTime2Sec,80976,156,THUMB_32,FUNC
_lrm_isThisLinkGoodForHole,225522,274,THUMB_32,FUNC
sc_h3,509748,78,THUMB_32,FUNC
celt_plc_saturate,640172,32,THUMB_32,FUNC
"_pageTaskLcuSoftReset, bcsulp_testTaskLcuSoftReset",298968,44,THUMB_32,FUNC
rtc_setRTCTime,81150,44,THUMB_32,FUNC
ulp_rand,509892,32,THUMB_32,FUNC
q_fill_random,931010,36,THUMB_32,FUNC
avct_bcb_last_ccb,1119434,50,THUMB_32,FUNC
bttransport_txStateIdle,36806,34,THUMB_32,FUNC
rtc_sec2RtcTime,81194,164,THUMB_32,FUNC
bthci_cmd_vs_ReadSleepMode,512232,72,THUMB_32,FUNC
q_IsZero,931046,32,THUMB_32,FUNC
avct_bcb_chk_disc,1119484,40,THUMB_32,FUNC
bttransport_configureSleepLineControl,36840,38,THUMB_32,FUNC
bcsulp_runCoexAlgorithm,81708,54,THUMB_32,FUNC
bthci_cmd_vs_CrystalPpm,512470,42,THUMB_32,FUNC
q_SetOne,931098,34,THUMB_32,FUNC
avct_bcb_discard_msg,1119644,76,THUMB_32,FUNC
wiced_bt_sco_output_stream,37690,88,THUMB_32,FUNC
irtx_sendData,82826,78,THUMB_32,FUNC
